stratum,threshold source,threshold,test specificity,test sensitivity,TP,FN,TN,FP
all,test-fitted,0.59863347,0.8008658008658008,0.40703517587939697,81,118,185,46
all,validation-fitted,0.5763738,0.7835497835497836,0.40703517587939697,81,118,181,50
non-dense (A/B),test-fitted,0.5875711,0.8155339805825242,0.4326923076923077,45,59,84,19
non-dense (A/B),validation-fitted,0.40724984,0.7087378640776699,0.5096153846153846,53,51,73,30
dense (C/D),test-fitted,0.6777672,0.8046875,0.3263157894736842,31,64,103,25
dense (C/D),validation-fitted,0.7583172,0.8515625,0.2631578947368421,25,70,109,19
