comparison,shared images,malignant,AUC other,AUC v4,difference,ci_low,ci_high
v4 minus v1,400,169,0.7541304848997157,0.7500576346730193,-0.004072850226696345,-0.0420839474727876,0.03426409708018214
v4 minus v3,48,22,0.6625874125874126,0.7447552447552447,0.08216783216783208,-0.07885811237373722,0.2499999999999999
